ID,Unit,Lesson,Concept,Question,A,B,C,D,Answer,Explanation,Source
Q001,U1,1,ความหมายของ Self-Management,ข้อใดอธิบาย “ความหมายของ Self-Management” ได้ถูกต้องที่สุด?,การเสริมแรงตนเองคือการให้รางวัลหรือกำลังใจตนเองเมื่อทำตามเป้าหมาย เพื่อคงแรงจูงใจภายใน,ผู้ป่วยเป็นศูนย์กลางและจัดการอาการ การรักษา ผลกระทบทางกาย–จิตสังคม และการปรับวิถีชีวิตร่วมกับทีมสุขภาพ,การติดตามตนเองคือการสังเกตและบันทึกพฤติกรรม อาการ หรือข้อมูลสุขภาพของตนเองอย่างเป็นระบบ,การประเมินตนเองคือการนำข้อมูลที่ติดตามไว้มาเทียบกับเป้าหมายหรือมาตรฐานเพื่อดูว่าต้องปรับอะไร,B,หลักสำคัญ: ผู้ป่วยเป็นศูนย์กลางและจัดการอาการ การรักษา ผลกระทบทางกาย–จิตสังคม และการปรับวิถีชีวิตร่วมกับทีมสุขภาพ การปฏิบัติที่สอดคล้อง: ประเมินสิ่งที่ผู้ป่วยทำได้จริง แล้วร่วมกำหนดเป้าหมายและแผนที่ผู้ป่วยมีส่วนตัดสินใจ เป้าหมาย: เพิ่มความสามารถในการดูแลตนเองและความต่อเนื่องของพฤติกรรมสุขภาพ,Self-Management CKD pp.4–5
Q002,U1,1,ความหมายของ Self-Management,การปฏิบัติใดสอดคล้องกับ “ความหมายของ Self-Management” มากที่สุด?,ช่วยผู้ป่วยกำหนดวิธีให้กำลังใจตนเองและปรับแผนเมื่อยังไม่บรรลุเป้าหมาย,ประเมินสิ่งที่ผู้ป่วยทำได้จริง แล้วร่วมกำหนดเป้าหมายและแผนที่ผู้ป่วยมีส่วนตัดสินใจ,ให้ผู้ป่วยติดตามข้อมูลที่มีความหมาย เช่น น้ำหนัก ความดัน อาการบวม หรือการรับประทานยา,ทบทวนข้อมูลร่วมกับผู้ป่วยและถามว่าผลที่เกิดขึ้นตรงเป้าหมายเพียงใด,B,หลักสำคัญ: ผู้ป่วยเป็นศูนย์กลางและจัดการอาการ การรักษา ผลกระทบทางกาย–จิตสังคม และการปรับวิถีชีวิตร่วมกับทีมสุขภาพ การปฏิบัติที่สอดคล้อง: ประเมินสิ่งที่ผู้ป่วยทำได้จริง แล้วร่วมกำหนดเป้าหมายและแผนที่ผู้ป่วยมีส่วนตัดสินใจ เป้าหมาย: เพิ่มความสามารถในการดูแลตนเองและความต่อเนื่องของพฤติกรรมสุขภาพ,Self-Management CKD pp.4–5
Q003,U1,1,ความหมายของ Self-Management,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “ความหมายของ Self-Management” โดยตรงที่สุด?,เพิ่มความยั่งยืนของพฤติกรรมที่เหมาะสม,ผู้ป่วยเห็นช่องว่างระหว่างพฤติกรรมจริงกับเป้าหมาย,ตรวจพบการเปลี่ยนแปลงและอุปสรรคได้เร็วขึ้น,เพิ่มความสามารถในการดูแลตนเองและความต่อเนื่องของพฤติกรรมสุขภาพ,D,หลักสำคัญ: ผู้ป่วยเป็นศูนย์กลางและจัดการอาการ การรักษา ผลกระทบทางกาย–จิตสังคม และการปรับวิถีชีวิตร่วมกับทีมสุขภาพ การปฏิบัติที่สอดคล้อง: ประเมินสิ่งที่ผู้ป่วยทำได้จริง แล้วร่วมกำหนดเป้าหมายและแผนที่ผู้ป่วยมีส่วนตัดสินใจ เป้าหมาย: เพิ่มความสามารถในการดูแลตนเองและความต่อเนื่องของพฤติกรรมสุขภาพ,Self-Management CKD pp.4–5
Q004,U1,2,Self-Monitoring,ข้อใดอธิบาย “Self-Monitoring” ได้ถูกต้องที่สุด?,การเสริมแรงตนเองคือการให้รางวัลหรือกำลังใจตนเองเมื่อทำตามเป้าหมาย เพื่อคงแรงจูงใจภายใน,การติดตามตนเองคือการสังเกตและบันทึกพฤติกรรม อาการ หรือข้อมูลสุขภาพของตนเองอย่างเป็นระบบ,การประเมินตนเองคือการนำข้อมูลที่ติดตามไว้มาเทียบกับเป้าหมายหรือมาตรฐานเพื่อดูว่าต้องปรับอะไร,ทักษะสำคัญประกอบด้วยการแก้ปัญหา การตัดสินใจ การใช้ทรัพยากร การร่วมมือกับทีมสุขภาพ การลงมือปฏิบัติ และ self-efficacy,B,หลักสำคัญ: การติดตามตนเองคือการสังเกตและบันทึกพฤติกรรม อาการ หรือข้อมูลสุขภาพของตนเองอย่างเป็นระบบ การปฏิบัติที่สอดคล้อง: ให้ผู้ป่วยติดตามข้อมูลที่มีความหมาย เช่น น้ำหนัก ความดัน อาการบวม หรือการรับประทานยา เป้าหมาย: ตรวจพบการเปลี่ยนแปลงและอุปสรรคได้เร็วขึ้น,Self-Management CKD p.6
Q005,U1,2,Self-Monitoring,การปฏิบัติใดสอดคล้องกับ “Self-Monitoring” มากที่สุด?,ทบทวนข้อมูลร่วมกับผู้ป่วยและถามว่าผลที่เกิดขึ้นตรงเป้าหมายเพียงใด,ฝึกให้ผู้ป่วยเลือกทางแก้ปัญหาจริงและรู้ว่าจะขอความช่วยเหลือจากใครเมื่อจำเป็น,ช่วยผู้ป่วยกำหนดวิธีให้กำลังใจตนเองและปรับแผนเมื่อยังไม่บรรลุเป้าหมาย,ให้ผู้ป่วยติดตามข้อมูลที่มีความหมาย เช่น น้ำหนัก ความดัน อาการบวม หรือการรับประทานยา,D,หลักสำคัญ: การติดตามตนเองคือการสังเกตและบันทึกพฤติกรรม อาการ หรือข้อมูลสุขภาพของตนเองอย่างเป็นระบบ การปฏิบัติที่สอดคล้อง: ให้ผู้ป่วยติดตามข้อมูลที่มีความหมาย เช่น น้ำหนัก ความดัน อาการบวม หรือการรับประทานยา เป้าหมาย: ตรวจพบการเปลี่ยนแปลงและอุปสรรคได้เร็วขึ้น,Self-Management CKD p.6
Q006,U1,2,Self-Monitoring,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “Self-Monitoring” โดยตรงที่สุด?,ผู้ป่วยตัดสินใจและลงมือดูแลตนเองได้ดีขึ้น,ผู้ป่วยเห็นช่องว่างระหว่างพฤติกรรมจริงกับเป้าหมาย,เพิ่มความยั่งยืนของพฤติกรรมที่เหมาะสม,ตรวจพบการเปลี่ยนแปลงและอุปสรรคได้เร็วขึ้น,D,หลักสำคัญ: การติดตามตนเองคือการสังเกตและบันทึกพฤติกรรม อาการ หรือข้อมูลสุขภาพของตนเองอย่างเป็นระบบ การปฏิบัติที่สอดคล้อง: ให้ผู้ป่วยติดตามข้อมูลที่มีความหมาย เช่น น้ำหนัก ความดัน อาการบวม หรือการรับประทานยา เป้าหมาย: ตรวจพบการเปลี่ยนแปลงและอุปสรรคได้เร็วขึ้น,Self-Management CKD p.6
Q007,U1,3,Self-Evaluation,ข้อใดอธิบาย “Self-Evaluation” ได้ถูกต้องที่สุด?,"การจัดการตนเองครอบคลุม Medical management, Role management และ Emotional management",การเสริมแรงตนเองคือการให้รางวัลหรือกำลังใจตนเองเมื่อทำตามเป้าหมาย เพื่อคงแรงจูงใจภายใน,การประเมินตนเองคือการนำข้อมูลที่ติดตามไว้มาเทียบกับเป้าหมายหรือมาตรฐานเพื่อดูว่าต้องปรับอะไร,ทักษะสำคัญประกอบด้วยการแก้ปัญหา การตัดสินใจ การใช้ทรัพยากร การร่วมมือกับทีมสุขภาพ การลงมือปฏิบัติ และ self-efficacy,C,หลักสำคัญ: การประเมินตนเองคือการนำข้อมูลที่ติดตามไว้มาเทียบกับเป้าหมายหรือมาตรฐานเพื่อดูว่าต้องปรับอะไร การปฏิบัติที่สอดคล้อง: ทบทวนข้อมูลร่วมกับผู้ป่วยและถามว่าผลที่เกิดขึ้นตรงเป้าหมายเพียงใด เป้าหมาย: ผู้ป่วยเห็นช่องว่างระหว่างพฤติกรรมจริงกับเป้าหมาย,Self-Management CKD p.6
Q008,U1,3,Self-Evaluation,การปฏิบัติใดสอดคล้องกับ “Self-Evaluation” มากที่สุด?,ช่วยผู้ป่วยกำหนดวิธีให้กำลังใจตนเองและปรับแผนเมื่อยังไม่บรรลุเป้าหมาย,ทบทวนข้อมูลร่วมกับผู้ป่วยและถามว่าผลที่เกิดขึ้นตรงเป้าหมายเพียงใด,ประเมินทั้งการรักษา บทบาทชีวิต/งาน/ครอบครัว และผลกระทบทางอารมณ์ ไม่เน้นเฉพาะยาและอาหาร,ฝึกให้ผู้ป่วยเลือกทางแก้ปัญหาจริงและรู้ว่าจะขอความช่วยเหลือจากใครเมื่อจำเป็น,B,หลักสำคัญ: การประเมินตนเองคือการนำข้อมูลที่ติดตามไว้มาเทียบกับเป้าหมายหรือมาตรฐานเพื่อดูว่าต้องปรับอะไร การปฏิบัติที่สอดคล้อง: ทบทวนข้อมูลร่วมกับผู้ป่วยและถามว่าผลที่เกิดขึ้นตรงเป้าหมายเพียงใด เป้าหมาย: ผู้ป่วยเห็นช่องว่างระหว่างพฤติกรรมจริงกับเป้าหมาย,Self-Management CKD p.6
Q009,U1,3,Self-Evaluation,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “Self-Evaluation” โดยตรงที่สุด?,ผู้ป่วยตัดสินใจและลงมือดูแลตนเองได้ดีขึ้น,เพิ่มความยั่งยืนของพฤติกรรมที่เหมาะสม,แผนดูแลครอบคลุมชีวิตจริงและคุณภาพชีวิตของผู้ป่วย,ผู้ป่วยเห็นช่องว่างระหว่างพฤติกรรมจริงกับเป้าหมาย,D,หลักสำคัญ: การประเมินตนเองคือการนำข้อมูลที่ติดตามไว้มาเทียบกับเป้าหมายหรือมาตรฐานเพื่อดูว่าต้องปรับอะไร การปฏิบัติที่สอดคล้อง: ทบทวนข้อมูลร่วมกับผู้ป่วยและถามว่าผลที่เกิดขึ้นตรงเป้าหมายเพียงใด เป้าหมาย: ผู้ป่วยเห็นช่องว่างระหว่างพฤติกรรมจริงกับเป้าหมาย,Self-Management CKD p.6
Q010,U1,4,Self-Reinforcement,ข้อใดอธิบาย “Self-Reinforcement” ได้ถูกต้องที่สุด?,"5A คือ Assess, Advise, Agree, Assist และ Arrange ใช้เป็นวงจรสนับสนุนการเปลี่ยนพฤติกรรม",การเสริมแรงตนเองคือการให้รางวัลหรือกำลังใจตนเองเมื่อทำตามเป้าหมาย เพื่อคงแรงจูงใจภายใน,ทักษะสำคัญประกอบด้วยการแก้ปัญหา การตัดสินใจ การใช้ทรัพยากร การร่วมมือกับทีมสุขภาพ การลงมือปฏิบัติ และ self-efficacy,"การจัดการตนเองครอบคลุม Medical management, Role management และ Emotional management",B,หลักสำคัญ: การเสริมแรงตนเองคือการให้รางวัลหรือกำลังใจตนเองเมื่อทำตามเป้าหมาย เพื่อคงแรงจูงใจภายใน การปฏิบัติที่สอดคล้อง: ช่วยผู้ป่วยกำหนดวิธีให้กำลังใจตนเองและปรับแผนเมื่อยังไม่บรรลุเป้าหมาย เป้าหมาย: เพิ่มความยั่งยืนของพฤติกรรมที่เหมาะสม,Self-Management CKD p.6
