Medication Management in Kidney Disease & RRT — Answer Key
Separate exam: 60 questions • Pass 80% = 48/60

MED-001 B | M1 | Medication management 2026 pp.4–10
MED-002 A | M1 | Medication management 2026 pp.4–10
MED-003 B | M1 | Medication management 2026 pp.4–10
MED-004 B | M1 | Medication management 2026 pp.4–10
MED-005 B | M1 | Medication management 2026 pp.4–10
MED-006 B | M1 | Medication management 2026 pp.4–10
MED-007 B | M2 | Medication management 2026 pp.10,121,129–145
MED-008 B | M2 | Medication management 2026 pp.10,121,129–145
MED-009 B | M2 | Medication management 2026 pp.10,121,129–145
MED-010 B | M2 | Medication management 2026 pp.10,121,129–145
MED-011 D | M2 | Medication management 2026 pp.10,121,129–145
MED-012 B | M2 | Medication management 2026 pp.10,121,129–145
MED-013 A | M3 | Medication management 2026 pp.11–52
MED-014 A | M3 | Medication management 2026 pp.11–52
MED-015 A | M3 | Medication management 2026 pp.11–52
MED-016 B | M3 | Medication management 2026 pp.11–52
MED-017 A | M3 | Medication management 2026 pp.11–52
MED-018 B | M3 | Medication management 2026 pp.11–52
MED-019 A | M4 | Medication management 2026 pp.53–74
MED-020 A | M4 | Medication management 2026 pp.53–74
MED-021 A | M4 | Medication management 2026 pp.53–74
MED-022 A | M4 | Medication management 2026 pp.53–74
MED-023 A | M4 | Medication management 2026 pp.53–74
MED-024 A | M4 | Medication management 2026 pp.53–74
MED-025 A | M5 | Medication management 2026 pp.75–102
MED-026 A | M5 | Medication management 2026 pp.75–102
MED-027 A | M5 | Medication management 2026 pp.75–102
MED-028 A | M5 | Medication management 2026 pp.75–102
MED-029 A | M5 | Medication management 2026 pp.75–102
MED-030 A | M5 | Medication management 2026 pp.75–102
MED-031 A | M6 | Medication management 2026 pp.103–107
MED-032 A | M6 | Medication management 2026 pp.103–107
MED-033 A | M6 | Medication management 2026 pp.103–107
MED-034 A | M6 | Medication management 2026 pp.103–107
MED-035 A | M6 | Medication management 2026 pp.103–107
MED-036 A | M6 | Medication management 2026 pp.103–107
MED-037 A | M7 | Medication management 2026 pp.108–120,133
MED-038 A | M7 | Medication management 2026 pp.108–120,133
MED-039 A | M7 | Medication management 2026 pp.108–120,133
MED-040 A | M7 | Medication management 2026 pp.108–120,133
MED-041 A | M7 | Medication management 2026 pp.108–120,133
MED-042 A | M7 | Medication management 2026 pp.108–120,133
MED-043 A | M8 | Medication management 2026 pp.121–143
MED-044 A | M8 | Medication management 2026 pp.121–143
MED-045 A | M8 | Medication management 2026 pp.121–143
MED-046 A | M8 | Medication management 2026 pp.121–143
MED-047 A | M8 | Medication management 2026 pp.121–143
MED-048 A | M8 | Medication management 2026 pp.121–143
MED-049 A | M9 | Medication management 2026 pp.131,144–155
MED-050 A | M9 | Medication management 2026 pp.131,144–155
MED-051 A | M9 | Medication management 2026 pp.131,144–155
MED-052 A | M9 | Medication management 2026 pp.131,144–155
MED-053 A | M9 | Medication management 2026 pp.131,144–155
MED-054 A | M9 | Medication management 2026 pp.131,144–155
MED-055 A | M10 | Medication management 2026 pp.146–178
MED-056 A | M10 | Medication management 2026 pp.146–178
MED-057 A | M10 | Medication management 2026 pp.146–178
MED-058 A | M10 | Medication management 2026 pp.146–178
MED-059 A | M10 | Medication management 2026 pp.146–178
MED-060 A | M10 | Medication management 2026 pp.146–178
