id,lesson,level,question,A,B,C,D,answer,explanation,source
MED-001,M1,กลางค่อนยาก,ปัจจัยใดใน CKD สามารถทำให้การดูดซึมยารับประทานเปลี่ยนแปลงได้มากที่สุด?,การเพิ่มมวลกล้ามเนื้อ,Diabetic gastroparesis และ intestinal edema,การเพิ่ม renal blood flow,การเพิ่ม albumin,B,"CKD อาจเปลี่ยน bioavailability ผ่าน gastroparesis, intestinal edema, gastric pH และปฏิกิริยากับยา/สารจับฟอสเฟต",Medication management 2026 pp.4–10
MED-002,M1,กลางค่อนยาก,Loading dose ของยาสัมพันธ์กับปัจจัยใดมากที่สุด?,Volume of distribution,Renal clearance เพียงอย่างเดียว,Urine output เพียงอย่างเดียว,เวลาที่ฟอกเลือดครั้งถัดไปเพียงอย่างเดียว,A,หลักใน source แยก loading dose ตาม Vd ขณะที่ maintenance dose อาศัยการกำจัดยา,Medication management 2026 pp.4–10
MED-003,M1,กลางค่อนยาก,Maintenance dose ของยาควรพิจารณาปัจจัยใดเป็นหลัก?,สีของยา,อัตราการกำจัดยาออกจากร่างกาย,จำนวนเม็ดยาที่ผู้ป่วยชอบรับประทาน,ค่า Hb เพียงอย่างเดียว,B,Maintenance dosing ถูกกำหนดโดย clearance ทั้ง renal และ nonrenal รวมถึงการขจัดโดย RRT,Medication management 2026 pp.4–10
MED-004,M1,กลางค่อนยาก,ผู้ป่วย AKI มีน้ำเกินมาก การให้ loading dose ของยาที่มี Vd เพิ่มจาก volume overload ควรคิดอย่างไร?,ลด loading dose ทุกกรณี,อาจต้องใช้ loading dose มากขึ้นในยาบางชนิด,งด loading dose เสมอ,ใช้ maintenance dose แทน loading dose,B,Volume overload ทำให้ Vd ของยาบางชนิดเพิ่ม จึงอาจต้องเพิ่ม loading dose เพื่อให้ถึง target concentration,Medication management 2026 pp.4–10
MED-005,M1,กลางค่อนยาก,Hypoalbuminemia มีผลต่อยาที่จับโปรตีนสูงอย่างไร?,ลด free drug เสมอ,อาจเพิ่ม free drug fraction,ไม่มีผลต่อการกระจายยา,ทำให้ยาทุกชนิดถูกฟอกออกหมด,B,เมื่อ protein binding ลดลง free fraction อาจเพิ่มและเปลี่ยนทั้ง effect และ dialyzability,Medication management 2026 pp.4–10
MED-006,M1,กลางค่อนยาก,เหตุใดการปรับยาใน AKI ต้องประเมินซ้ำบ่อย?,เพราะชื่อยาจะเปลี่ยน,เพราะ renal function และ fluid status เปลี่ยนได้รวดเร็ว,เพราะทุกยามี half-life เท่ากัน,เพราะ AKI ไม่มีผลต่อ PK,B,AKI เป็นภาวะ dynamic จึงต้อง reassess maintenance regimen ตาม renal function และ volume status ปัจจุบัน,Medication management 2026 pp.4–10
MED-007,M2,กลางค่อนยาก,ข้อใดถูกต้องที่สุดเกี่ยวกับการปรับขนาดยาในไตเสื่อม?,ต้องลดทั้ง loading และ maintenance dose ทุกยา,อาจลด dose เพิ่ม interval หรือปรับทั้งสองตาม PK/PD,ต้องเพิ่มความถี่ทุกยา,ใช้ serum creatinine ค่าเดียวโดยไม่ดูบริบท,B,การปรับ regimen มีหลายวิธีและขึ้นกับ PK/PD กับ therapeutic target ไม่ใช่สูตรเดียวสำหรับทุกยา,"Medication management 2026 pp.10,121,129–145"
MED-008,M2,กลางค่อนยาก,ข้อใดควรทำเมื่อผู้ป่วยเริ่ม hemodialysis หลังจากเดิมยังไม่ได้ RRT?,ใช้ dose เดิมต่อจนจบ course,ทบทวน regimen เพราะมี extracorporeal clearance เพิ่มเข้ามา,หยุดยาทุกชนิด,เพิ่มยาเป็นสองเท่าทุกชนิด,B,การเริ่ม RRT เปลี่ยน total clearance จึงต้องประเมิน dose และ timing ใหม่,"Medication management 2026 pp.10,121,129–145"
MED-009,M2,กลางค่อนยาก,Residual renal function ในผู้ป่วยที่ทำ dialysis มีความหมายต่อการบริหารยาอย่างไร?,ไม่มีความหมายเพราะฟอกเลือดแทนไตทั้งหมด,ยังมีผลต่อ total drug clearance,มีผลเฉพาะ phosphate binder,มีผลเฉพาะยาใต้ผิวหนัง,B,Residual renal clearance อาจมีนัยสำคัญ โดยเฉพาะยาที่ขับทางไตสูง,"Medication management 2026 pp.10,121,129–145"
MED-010,M2,กลางค่อนยาก,เหตุการณ์ใดควรกระตุ้นให้ทบทวน dose plan ใหม่ทันที?,ผู้ป่วยเปลี่ยนเตียง,เปลี่ยนจาก IHD เป็น CRRT,เปลี่ยนเวลาอาหาร 15 นาที,เปลี่ยนเสื้อผ้า,B,การเปลี่ยน RRT modality เปลี่ยน extracorporeal clearance ได้อย่างมาก,"Medication management 2026 pp.10,121,129–145"
MED-011,M2,กลางค่อนยาก,ข้อใดไม่เหมาะสมในการประเมิน renal dosing?,ดูแนวโน้ม renal function,ดู RRT modality,ดู volume status,ใช้ค่า creatinine เก่าโดยไม่สนใจการเปลี่ยนแปลงล่าสุด,D,การใช้ค่าที่ไม่สะท้อนสถานะปัจจุบันเสี่ยง under/overdosing,"Medication management 2026 pp.10,121,129–145"
MED-012,M2,กลางค่อนยาก,หลักคิดที่เหมาะสมที่สุดเมื่อ dosing reference ระบุ CrCl แต่ผู้ป่วยมี eGFR ในรายงาน lab คือข้อใด?,ใช้ eGFR แทนเสมอโดยไม่ตรวจ reference,ตรวจว่าคำแนะนำของยานั้นใช้ renal estimate ใด,ไม่ต้องประเมินไต,เลือกค่าที่สูงกว่าเสมอ,B,ควรยึด renal function estimate ตาม dosing reference ของยาและบริบทผู้ป่วย,"Medication management 2026 pp.10,121,129–145"
MED-013,M3,กลางค่อนยาก,การใช้ ACEi/ARB ใน CKD ควรติดตาม lab ใดสำคัญ?,Creatinine/eGFR และ potassium,Amylase และ lipase เท่านั้น,Calcium เท่านั้น,INR เท่านั้น,A,RAS blockade ต้องเฝ้าระวัง renal function และ hyperkalemia,Medication management 2026 pp.11–52
MED-014,M3,กลางค่อนยาก,ข้อใดเป็น adverse effect ที่ source เน้นในการใช้ SGLT2 inhibitor?,Volume depletion,Severe hypercalcemia เป็นหลัก,Hemolysis เป็นหลัก,Hyperphosphatemia โดยตรง,A,Source แสดง volume depletion เป็น adverse event of interest และมี sick-day considerations,Medication management 2026 pp.11–52
MED-015,M3,กลางค่อนยาก,สถานการณ์ใดเพิ่มความเสี่ยง euglycemic DKA ในผู้ใช้ SGLT2 inhibitor?,Surgery หรือ caloric restriction,รับประทานอาหารปกติและ stable,ไม่มี diabetes และไม่มี acute illness,เพิ่มน้ำหนักเล็กน้อยเพียงอย่างเดียว,A,"Surgical stress, caloric restriction, insulin reduction และ alcohol abuse เป็น risk factors ที่ source ระบุ",Medication management 2026 pp.11–52
MED-016,M3,กลางค่อนยาก,เป้าหมายสำคัญของ sick-day management คืออะไร?,เพิ่มยาทุกชนิดเมื่อป่วย,ลดความเสี่ยงจากยาบางกลุ่มเมื่อเกิด dehydration/fasting/acute illness,หยุดยาเรื้อรังทุกชนิดถาวร,งดการติดตามอาการ,B,Sick-day plan ช่วยจัดการยาที่อาจเพิ่มความเสี่ยงในภาวะขาดน้ำ/อดอาหาร/เจ็บป่วยเฉียบพลัน,Medication management 2026 pp.11–52
MED-017,M3,กลางค่อนยาก,จุดเฝ้าระวังสำคัญของ finerenone ตาม source คือข้อใด?,Potassium,Platelet เพียงอย่างเดียว,Uric acid เพียงอย่างเดียว,Amylase เพียงอย่างเดียว,A,Finerenone มีความเสี่ยง hyperkalemia จึงต้องติดตาม K และ renal function,Medication management 2026 pp.11–52
MED-018,M3,กลางค่อนยาก,ข้อใดสะท้อนการพยาบาลด้าน medication safety ได้ดีที่สุดเมื่อเริ่มยาชะลอ CKD?,จ่ายยาแล้วจบ,"เชื่อมยาเข้ากับ BP, volume status, renal function และ K แล้วติดตามต่อเนื่อง",ตรวจเฉพาะอุณหภูมิ,งดให้ความรู้เพราะเป็นหน้าที่แพทย์,B,การประเมิน response และ adverse effects เป็นส่วนสำคัญของ medication management,Medication management 2026 pp.11–52
MED-019,M4,กลางค่อนยาก,ตัวชี้วัดหลักในการประเมิน iron status ใน CKD ตาม source คือข้อใด?,TSAT และ ferritin,INR และ aPTT,AST และ ALT,Na และ Cl,A,TSAT และ ferritin ใช้ประกอบการเริ่ม/ต่อ iron therapy และติดตามระหว่าง ESA,Medication management 2026 pp.53–74
MED-020,M4,กลางค่อนยาก,ในผู้ป่วย hemodialysis ข้อใดเป็นข้อดีของ IV iron ตาม source?,ช่วยเพิ่ม ESA responsiveness และลด ESA dose requirement,ทำให้ไม่ต้องติดตาม Hb,ไม่มี infusion reaction ได้เลย,ใช้แทน ESA ทุกกรณี,A,Parenteral iron ช่วย improve ESA response ใน HD แต่ยังต้องติดตามความปลอดภัย,Medication management 2026 pp.53–74
MED-021,M4,กลางค่อนยาก,ควรหลีกเลี่ยง IV iron ในสถานการณ์ใดตามเอกสารหลักสูตร?,Active systemic infection,BP ปกติ,ผู้ป่วยมี AVF,หลังอาหาร,A,Source ระบุหลีกเลี่ยง IV iron ใน active systemic infection,Medication management 2026 pp.53–74
MED-022,M4,กลางค่อนยาก,ความเสี่ยงใดต้องชั่งกับประโยชน์ก่อน/ระหว่าง ESA therapy?,"Stroke, hypertension และ vascular access loss",Hyperthyroidism เท่านั้น,Appendicitis,Otitis externa,A,ESA ต้อง balance symptom/transfusion benefit กับ vascular and cardiovascular risks,Medication management 2026 pp.53–74
MED-023,M4,กลางค่อนยาก,ผู้ป่วย Hb ต่ำและตอบสนองต่อ ESA ไม่ดี สิ่งใดควรประเมินก่อนคิดว่า “เพิ่ม ESA อย่างเดียว”?,Iron status และสาเหตุ hyporesponsiveness,สีผิวเพียงอย่างเดียว,วันเกิด,ส่วนสูงเท่านั้น,A,Iron deficiency และปัจจัยอื่นทำให้ ESA response ลดลง จึงต้องประเมินก่อนเพิ่ม dose,Medication management 2026 pp.53–74
